"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
3,230,"Dorothy Crowfoot","Hodgkin","EG","GB","female",1964,"chemistry","  determinations  X-ray techniques   structures  important biochemical substances"
15,843,"Ada E.","Yonath","IL","","female",2009,"chemistry"," studies   structure  function   ribosome"
33,6,"Marie","Curie, n_e Sklodowska","PL","FR","female",1911,"chemistry","       advancement  chemistry   discovery   elements radium  polonium   isolation  radium   study   nature  compounds  this remarkable element"
36,194,"Irne","Joliot-Curie","FR","FR","female",1935,"chemistry","    synthesis  new radioactive elements"
114,166,"Eduard","Buchner","DE","RO","male",1907,"chemistry","  biochemical researches   discovery  cell-free fermentation"
119,280,"George A.","Olah","HU","","male",1994,"chemistry","    carbocation chemistry"
123,251,"Peter D.","Mitchell","GB","GB","male",1978,"chemistry","       biological energy transfer   formulation   chemiosmotic theory"
125,209,"William Francis","Giauque","CA","US","male",1949,"chemistry","     field  chemical thermodynamics particularly   behaviour  substances  extremely low temperatures"
126,250,"Ilya","Prigogine","RU","BE","male",1977,"chemistry","    non-equilibrium thermodynamics particularly  theory  dissipative structures"
127,195,"Petrus (Peter) Josephus Wilhelmus","Debye","NL","US","male",1936,"chemistry","     knowledge  molecular structure   investigations  dipole moments    diffraction  X-rays  electrons  gases"
128,179,"Frederick","Soddy","GB","GB","male",1921,"chemistry","     knowledge   chemistry  radioactive substances   investigations   origin  nature  isotopes"
129,276,"Richard R.","Ernst","CH","","male",1991,"chemistry","        methodology  high resolution nuclear magnetic resonance NMR spectroscopy"
130,240,"Gerhard","Herzberg","DE","CA","male",1971,"chemistry","     knowledge  electronic structure  geometry  molecules particularly free radicals"
132,277,"Rudolph A.","Marcus","CA","","male",1992,"chemistry","     theory  electron transfer reactions  chemical systems"
139,182,"Richard Adolf","Zsigmondy","AT","DE","male",1925,"chemistry","  demonstration   heterogenous nature  colloid solutions    methods  used  have since become fundamental  modern colloid chemistry"
142,291,"John A.","Pople","GB","US","male",1998,"chemistry","    computational methods  quantum chemistry"
143,259,"Aaron","Klug","LT","","male",1982,"chemistry","    crystallographic electron microscopy   structural elucidation  biologically important nucleic acid-protein complexes"
144,261,"Robert Bruce","Merrifield","US","US","male",1984,"chemistry","    methodology  chemical synthesis   solid matrix"
145,758,"Kurt","Wôthrich","CH","","male",2002,"chemistry","    nuclear magnetic resonance spectroscopy  determining  three-dimensional structure  biological macromolecules  solution"
147,290,"Walter","Kohn","AT","US","male",1998,"chemistry","     density-functional theory"
149,275,"Elias James","Corey","US","","male",1990,"chemistry","     theory  methodology  organic synthesis"
153,191,"Irving","Langmuir","US","US","male",1932,"chemistry","  discoveries  investigations  surface chemistry"
164,216,"Hermann","Staudinger","DE","DE","male",1953,"chemistry","  discoveries   field  macromolecular chemistry"
171,223,"Jaroslav","Heyrovsky","CZ","CZ","male",1959,"chemistry","  discovery     polarographic methods  "
174,192,"Harold Clayton","Urey","US","US","male",1934,"chemistry","  discovery  heavy hydrogen"
179,239,"Luis F.","Leloir","FR","AR","male",1970,"chemistry","  discovery  sugar nucleotides   role   biosynthesis  carbohydrates"
189,202,"Otto","Hahn","DE","DE","male",1944,"chemistry","  discovery   fission  heavy nuclei"
207,204,"James Batcheller","Sumner","US","US","male",1946,"chemistry","  discovery  enzymes can be crystallized"
