"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
1,846,"Elinor","Ostrom","US","US","female",2009,"economics","    economic governance   commons"
59,717,"Robert C.","Merton","US","","male",1997,"economics","  new method  determine  value  derivatives"
60,718,"Myron S.","Scholes","CA","","male",1997,"economics","  new method  determine  value  derivatives"
87,677,"Ragnar","Frisch","NO","NO","male",1969,"economics","    applied dynamic models     economic processes"
88,678,"Jan","Tinbergen","NL","NL","male",1969,"economics","    applied dynamic models     economic processes"
89,714,"Robert E.","Lucas Jr.","US","","male",1995,"economics","    applied  hypothesis  rational expectations    transformed macroeconomic   deepened    economic policy"
90,800,"Thomas C.","Schelling","US","","male",2005,"economics","      conflict  cooperation  game-theory "
91,799,"Robert J.","Aumann","DE","","male",2005,"economics","      conflict  cooperation  game-theory "
92,760,"Vernon L.","Smith","US","","male",2002,"economics","   laboratory experiments   tool  empirical economic     study  alternative market mechanisms"
93,708,"Gary S.","Becker","US","US","male",1992,"economics","    domain  microeconomic    wide range  human behaviour  interaction  nonmarket behaviour"
94,697,"Gerard","Debreu","FR","FR","male",1983,"economics","  incorporated new analytical methods  economic theory    rigorous reformulation   theory  general equilibrium"
95,759,"Daniel","Kahneman","IL","","male",2002,"economics","  integrated insights from psychological   economic science   human judgment  decision-making under uncertainty"
96,822,"Roger B.","Myerson","US","","male",2007,"economics","    foundations  mechanism design theory"
97,820,"Leonid","Hurwicz","RU","US","male",2007,"economics","    foundations  mechanism design theory"
98,821,"Eric S.","Maskin","US","","male",2007,"economics","    foundations  mechanism design theory"
99,698,"Richard","Stone","GB","GB","male",1984,"economics","   fundamental      systems  national accounts  hence greatly improved  basis  empirical economic "
100,709,"Robert W.","Fogel","US","US","male",1993,"economics","     economic history   economic theory  quantitative methods  order  explain economic  institutional change"
101,710,"Douglass C.","North","US","US","male",1993,"economics","     economic history   economic theory  quantitative methods  order  explain economic  institutional change"
103,688,"Milton","Friedman","US","US","male",1976,"economics","  achievements   fields  consumption  monetary history  theory    demonstration   complexity  stabilization policy"
105,926,"Angus","Deaton","GB","","male",2015,"economics","    consumption poverty  welfare"
106,847,"Oliver E.","Williamson","US","","male",2009,"economics","    economic governance   boundaries   firm"
107,695,"James","Tobin","US","US","male",1981,"economics","    financial markets   relations  expenditure decisions employment production  prices"
108,807,"Edmund S.","Phelps","US","","male",2006,"economics","    intertemporal tradeoffs  macroeconomic policy"
109,915,"Jean","Tirole","FR","","male",2014,"economics","    market power  regulation"
110,720,"Robert A.","Mundell","CA","","male",1999,"economics","    monetary  fiscal policy under different exchange rate regimes     optimum currency areas"
111,834,"Paul","Krugman","US","","male",2008,"economics","    trade patterns  location  economic activity"
117,703,"Trygve","Haavelmo","NO","NO","male",1989,"economics","  clarification   probability theory foundations  econometrics   analyses  simultaneous economic structures"
131,701,"Robert M.","Solow","US","","male",1987,"economics","     theory  economic growth"
135,719,"Amartya","Sen","IN","","male",1998,"economics","    welfare economics"
146,700,"James M.","Buchanan Jr.","US","US","male",1986,"economics","     contractual  constitutional bases   theory  economic  political decision-making"
151,733,"Daniel L.","McFadden","US","","male",2000,"economics","    theory  methods  analyzing discrete choice"
152,732,"James J.","Heckman","US","","male",2000,"economics","    theory  methods  analyzing selective samples"
170,707,"Ronald H.","Coase","GB","US","male",1991,"economics","  discovery  clarification   significance  transaction costs  property rights   institutional structure  functioning   economy"
212,680,"Simon","Kuznets","BY","US","male",1971,"economics","  empirically founded interpretation  economic growth   led  new  deepened insight   economic  social structure  process  "
258,699,"Franco","Modigliani","IT","US","male",1985,"economics","   analyses  saving   financial markets"
259,702,"Maurice","Allais","FR","FR","male",1988,"economics","      theory  markets  efficient utilization  resources"
260,691,"Herbert A.","Simon","US","US","male",1978,"economics","      decision-making process within economic organizations"
280,696,"George J.","Stigler","US","US","male",1982,"economics","  seminal studies  industrial structures functioning  markets  causes  effects  public regulation"
