"","year","males","females","female_ratio"
"1",1901,6,0,0
"2",1902,7,0,0
"3",1903,6,1,0.142857142857143
"4",1904,5,0,0
"5",1905,4,1,0.2
"6",1906,6,0,0
"7",1907,6,0,0
"8",1908,7,0,0
"9",1909,6,1,0.142857142857143
"10",1910,4,0,0
"11",1911,5,1,0.166666666666667
"12",1912,6,0,0
"13",1913,5,0,0
"14",1914,3,0,0
"15",1915,4,0,0
"16",1916,1,0,0
"17",1917,3,0,0
"18",1918,2,0,0
"19",1919,4,0,0
"20",1920,5,0,0
"21",1921,5,0,0
"22",1922,6,0,0
"23",1923,5,0,0
"24",1924,3,0,0
"25",1925,6,0,0
"26",1926,5,1,0.166666666666667
"27",1927,7,0,0
"28",1928,3,1,0.25
"29",1929,7,0,0
"30",1930,5,0,0
"31",1931,5,1,0.166666666666667
"32",1932,5,0,0
"33",1933,5,0,0
"34",1934,6,0,0
"35",1935,4,1,0.2
"36",1936,7,0,0
"37",1937,7,0,0
"38",1938,3,1,0.25
"39",1939,5,0,0
"40",1943,4,0,0
"41",1944,5,0,0
"42",1945,6,1,0.142857142857143
"43",1946,7,1,0.125
"44",1947,5,1,0.166666666666667
"45",1948,4,0,0
"46",1949,6,0,0
"47",1950,8,0,0
"48",1951,7,0,0
"49",1952,7,0,0
"50",1953,6,0,0
"51",1954,7,0,0
"52",1955,5,0,0
"53",1956,9,0,0
"54",1957,6,0,0
"55",1958,9,0,0
"56",1959,7,0,0
"57",1960,6,0,0
"58",1961,6,0,0
"59",1962,8,0,0
"60",1963,8,1,0.111111111111111
"61",1964,7,1,0.125
"62",1965,8,0,0
"63",1966,5,1,0.166666666666667
"64",1967,8,0,0
"65",1968,7,0,0
"66",1969,9,0,0
"67",1970,9,0,0
"68",1971,6,0,0
"69",1972,11,0,0
"70",1973,12,0,0
"71",1974,12,0,0
"72",1975,12,0,0
"73",1976,7,2,0.222222222222222
"74",1977,9,1,0.1
"75",1978,11,0,0
"76",1979,10,1,0.0909090909090909
"77",1980,11,0,0
"78",1981,10,0,0
"79",1982,8,1,0.111111111111111
"80",1983,6,1,0.142857142857143
"81",1984,9,0,0
"82",1985,7,0,0
"83",1986,10,1,0.0909090909090909
"84",1987,9,0,0
"85",1988,10,1,0.0909090909090909
"86",1989,10,0,0
"87",1990,11,0,0
"88",1991,5,2,0.285714285714286
"89",1992,6,1,0.142857142857143
"90",1993,10,1,0.0909090909090909
"91",1994,12,0,0
"92",1995,10,1,0.0909090909090909
"93",1996,12,1,0.0769230769230769
"94",1997,10,1,0.0909090909090909
"95",1998,12,0,0
"96",1999,6,0,0
"97",2000,13,0,0
"98",2001,14,0,0
"99",2002,13,0,0
"100",2003,10,1,0.0909090909090909
"101",2004,9,3,0.25
"102",2005,12,0,0
"103",2006,8,0,0
"104",2007,10,1,0.0909090909090909
"105",2008,11,1,0.0833333333333333
"106",2009,8,5,0.384615384615385
"107",2010,11,0,0
"108",2011,10,3,0.230769230769231
"109",2012,9,0,0
"110",2013,11,1,0.0833333333333333
"111",2014,11,2,0.153846153846154
"112",2015,8,2,0.2
"113",2016,8,0,0
