"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
7,597,"Grazia","Deledda","IT","IT","female",1926,"literature","  idealistically inspired writings   plastic clarity picture  life   native island   depth  sympathy deal  human problems  general"
8,615,"Gabriela","Mistral","CL","US","female",1945,"literature","  lyric poetry  inspired  powerful emotions    name  symbol   idealistic aspirations   entire Latin American world"
9,782,"Elfriede","Jelinek","AT","","female",2004,"literature","  musical flow  voices  counter-voices  novels  plays    linguistic zeal reveal  absurdity  society's clicheacutes   subjugating power"
11,640,"Nelly","Sachs","DE","SE","female",1966,"literature","  outstanding lyrical  dramatic writing  interprets Israel's destiny  touching strength "
12,924,"Svetlana","Alexievich","UA","","female",2015,"literature","  polyphonic writings  monument  suffering  courage   time"
13,610,"Pearl","Buck","US","US","female",1938,"literature","  rich  truly epic descriptions  peasant life  China    biographical masterpieces"
14,673,"Wislawa","Szymborska","PL","PL","female",1996,"literature"," poetry   ironic precision allows  historical  biological context  come  light  fragments  human reality"
32,579,"Selma Ottilia Lovisa","Lagerl_f","SE","SE","female",1909,"literature"," appreciation   lofty idealism vivid imagination  spiritual perception  characterize  writings"
37,892,"Alice","Munro","CA","","female",2013,"literature","master   contemporary short story"
38,601,"Sigrid","Undset","DK","NO","female",1928,"literature","principally   powerful descriptions  Northern life during  Middle Ages"
39,817,"Doris","Lessing","IR","GB","female",2007,"literature"," epicist   female experience   scepticism fire  visionary power  subjected  divided civilisation  scrutiny"
40,670,"Toni","Morrison","US","","female",1993,"literature","  novels characterized  visionary force  poetic import gives life   essential aspect  American reality"
41,668,"Nadine","Gordimer","ZA","ZA","female",1991,"literature","   magnificent epic writing     words  Alfred Nobel  been  very great benefit  humanity"
42,844,"Herta","MÙller","RO","","female",2009,"literature","   concentration  poetry   frankness  prose depicts  landscape   dispossessed"
50,572,"BjÀrnstjerne Martinus","BjÀrnson","NO","FR","male",1903,"literature","  tribute   noble magnificent  versatile poetry   always been distinguished  both  freshness   inspiration   rare purity   spirit"
51,580,"Paul Johann Ludwig","Heyse","DE","DE","male",1910,"literature","  tribute   consummate artistry permeated  idealism    demonstrated during  long productive career   lyric poet dramatist novelist  writer  world-renowned short stories"
52,584,"Romain","Rolland","FR","FR","male",1915,"literature","  tribute   lofty idealism   literary production    sympathy  love  truth     described different types  human beings"
53,832,"Jean-Marie Gustave","Le Cl_zio","FR","","male",2008,"literature","author  new departures poetic adventure  sensual ecstasy explorer   humanity beyond  below  reigning civilization"
54,575,"Henryk","Sienkiewicz","PL","CH","male",1905,"literature","   outstanding merits   epic writer"
