"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
4,918,"Youyou","Tu","CN","","female",2015,"medicine","  discoveries   novel therapy against Malaria"
5,428,"Barbara","McClintock","US","US","female",1983,"medicine","  discovery  mobile genetic elements"
16,413,"Rosalyn","Yalow","US","US","female",1977,"medicine","    radioimmunoassays  peptide hormones"
17,836,"Carol W.","Greider","US","","female",2009,"medicine","  discovery  how chromosomes  protected  telomeres   enzyme telomerase"
18,835,"Elizabeth H.","Blackburn","AU","","female",2009,"medicine","  discovery  how chromosomes  protected  telomeres   enzyme telomerase"
20,453,"Christiane","NÙsslein-Volhard","DE","","female",1995,"medicine","  discoveries   genetic control  early embryonic "
21,904,"May-Britt","Moser","NO","","female",2014,"medicine","  discoveries  cells  constitute  positioning system   brain"
22,435,"Rita","Levi-Montalcini","IT","IT","female",1986,"medicine","  discoveries  growth factors"
23,438,"Gertrude B.","Elion","US","US","female",1988,"medicine","  discoveries  important principles  drug treatment"
24,775,"Linda B.","Buck","US","","female",2004,"medicine","  discoveries  odorant receptors   organization   olfactory system"
25,824,"Françoise","Barr_-Sinoussi","FR","","female",2008,"medicine","  discovery  human immunodeficiency virus"
26,344,"Gerty Theresa","Cori, n_e Radnitz","CZ","US","female",1947,"medicine","  discovery   course   catalytic conversion  glycogen"
73,370,"Peter Brian","Medawar","BR","GB","male",1960,"medicine"," discovery  acquired immunological tolerance"
74,369,"Sir Frank Macfarlane","Burnet","AU","AU","male",1960,"medicine"," discovery  acquired immunological tolerance"
155,366,"Joshua","Lederberg","US","US","male",1958,"medicine","  discoveries  genetic recombination   organization   genetic material  bacteria"
156,384,"Charles Brenton","Huggins","CA","US","male",1966,"medicine","  discoveries  hormonal treatment  prostatic cancer"
158,422,"Roger W.","Sperry","US","US","male",1981,"medicine","  discoveries   functional specialization   cerebral hemispheres"
159,397,"Earl W.","Sutherland, Jr.","US","US","male",1971,"medicine","  discoveries   mechanisms   action  hormones"
160,359,"Axel Hugo Theodor","Theorell","SE","SE","male",1955,"medicine","  discoveries   nature  mode  action  oxidation enzymes"
161,325,"Thomas Hunt","Morgan","US","US","male",1933,"medicine","  discoveries   role played   chromosome  heredity"
162,352,"Max","Theiler","ZA","US","male",1951,"medicine","  discoveries  yellow fever  how  combat it"
163,332,"Albert","von Szent-Gy_rgyi Nagyràpolt","HU","US","male",1937,"medicine","  discoveries  connection   biological combustion processes  special reference  vitamin C   catalysis  fumaric acid"
165,927,"Yoshinori","Ohsumi","JP","","male",2016,"medicine","  discoveries  mechanisms  autophagy"
166,371,"Georg","von B_k_sy","HU","US","male",1961,"medicine","  discoveries   physical mechanism  stimulation within  cochlea"
168,309,"Jules","Bordet","BE","BE","male",1919,"medicine","  discoveries   immunity"
169,363,"Daniel","Bovet","CH","IT","male",1957,"medicine","  discoveries   synthetic compounds  inhibit  action  certain body substances    action   vascular system   skeletal muscles"
172,355,"Fritz Albert","Lipmann","RU","US","male",1953,"medicine","  discovery  co-enzyme A   importance  intermediary metabolism"
175,321,"Karl","Landsteiner","AT","US","male",1930,"medicine","  discovery  human blood groups"
176,823,"Harald","zur Hausen","DE","","male",2008,"medicine","  discovery  human papilloma viruses causing cervical cancer"
177,457,"Stanley B.","Prusiner","US","","male",1997,"medicine","  discovery  Prions   new biological principle  infection"
178,353,"Selman Abraham","Waksman","UA","US","male",1952,"medicine","  discovery  streptomycin  first antibiotic effective against tuberculosis"
180,319,"Christiaan","Eijkman","NL","NL","male",1929,"medicine","  discovery   antineuritic vitamin"
181,310,"Schack August Steenberg","Krogh","DK","DK","male",1920,"medicine","  discovery   capillary motor regulating mechanism"
183,336,"Edward Adelbert","Doisy","US","US","male",1943,"medicine","  discovery   chemical nature  vitamin K"
184,354,"Hans Adolf","Krebs","DE","GB","male",1953,"medicine","  discovery   citric acid cycle"
185,863,"Ralph M.","Steinman","CA","","male",2011,"medicine","  discovery   dendritic cell   role  adaptive immunity"
190,312,"Otto Fritz","Meyerhof","DE","US","male",1922,"medicine","  discovery   fixed relationship between  consumption  oxygen   metabolism  lactic acid   muscle"
191,347,"Walter Rudolf","Hess","CH","CH","male",1949,"medicine","  discovery   functional organization   interbrain   coordinator   activities   internal organs"
192,436,"Susumu","Tonegawa","JP","","male",1987,"medicine","  discovery   genetic principle  generation  antibody diversity"
193,320,"Sir Frederick Gowland","Hopkins","GB","GB","male",1929,"medicine","  discovery   growth-stimulating vitamins"
194,346,"Paul Hermann","MÙller","CH","CH","male",1948,"medicine","  discovery   high efficiency  DDT   contact poison against several arthropods"
195,315,"Willem","Einthoven","ID","NL","male",1924,"medicine","  discovery   mechanism   electrocardiogram"
196,322,"Otto Heinrich","Warburg","DE","DE","male",1931,"medicine","  discovery   nature  mode  action   respiratory enzyme"
197,329,"Hans","Spemann","DE","DE","male",1935,"medicine","  discovery   organizer effect  embryonic "
198,345,"Bernardo Alberto","Houssay","AR","AR","male",1947,"medicine","  discovery   part played   hormone   anterior pituitary lobe   metabolism  sugar"
200,316,"Johannes Andreas Grib","Fibiger","DK","DK","male",1926,"medicine","  discovery   Spiroptera carcinoma"
201,348,"Antonio Caetano de Abreu Freire Egas","Moniz","PT","PT","male",1949,"medicine","  discovery   therapeutic value  leucotomy  certain psychoses"
202,317,"Julius","Wagner-Jauregg","AT","AT","male",1927,"medicine","  discovery   therapeutic value  malaria inoculation   treatment  dementia paralytica"
204,383,"Peyton","Rous","US","US","male",1966,"medicine","  discovery  tumour-inducing viruses"
205,335,"Henrik Carl Peter","Dam","DK","DK","male",1943,"medicine","  discovery  vitamin K"
206,311,"Archibald Vivian","Hill","GB","GB","male",1922,"medicine","  discovery    production  heat   muscle"
231,297,"Robert","Koch","DE","DE","male",1905,"medicine","  investigations  discoveries  relation  tuberculosis"
302,294,"Ronald","Ross","IN","GB","male",1902,"medicine","    malaria     shown how it enters  organism      foundation  successful   this disease  methods  combating it"
306,293,"Emil Adolf","von Behring","PL","DE","male",1901,"medicine","    serum therapy   application against diphtheria     opened  new road   domain  medical science   placed   hands   physician  victorious weapon against illness  deaths"
308,305,"Allvar","Gullstrand","SE","SE","male",1911,"medicine","     dioptrics   eye"
313,308,"Robert","Bàràny","AT","SE","male",1914,"medicine","     physiology  pathology   vestibular apparatus"
314,303,"Emil Theodor","Kocher","CH","CH","male",1909,"medicine","     physiology pathology  surgery   thyroid gland"
320,318,"Charles Jules Henri","Nicolle","FR","TN","male",1928,"medicine","    typhus"
363,418,"Godfrey N.","Hounsfield","GB","GB","male",1979,"medicine","    computer assisted tomography"
364,417,"Allan M.","Cormack","ZA","US","male",1979,"medicine","    computer assisted tomography"
365,848,"Robert G.","Edwards","GB","GB","male",2010,"medicine","     vitro fertilization"
397,837,"Jack W.","Szostak","GB","","male",2009,"medicine","  discovery  how chromosomes  protected  telomeres   enzyme telomerase"
398,314,"John James Rickard","Macleod","GB","GB","male",1923,"medicine","  discovery  insulin"
399,313,"Frederick Grant","Banting","CA","CA","male",1923,"medicine","  discovery  insulin"
404,339,"Sir Alexander","Fleming","GB","GB","male",1945,"medicine","  discovery  penicillin   curative effect  various infectious diseases"
405,340,"Ernst Boris","Chain","DE","IE","male",1945,"medicine","  discovery  penicillin   curative effect  various infectious diseases"
406,341,"Sir Howard Walter","Florey","AU","GB","male",1945,"medicine","  discovery  penicillin   curative effect  various infectious diseases"
408,416,"Hamilton O.","Smith","US","","male",1978,"medicine","  discovery  restriction enzymes   application  problems  molecular genetics"
409,415,"Daniel","Nathans","US","US","male",1978,"medicine","  discovery  restriction enzymes   application  problems  molecular genetics"
410,414,"Werner","Arber","CH","","male",1978,"medicine","  discovery  restriction enzymes   application  problems  molecular genetics"
414,334,"Gerhard","Domagk","PL","DE","male",1939,"medicine","  discovery   antibacterial effects  prontosil"
423,342,"Hermann Joseph","Muller","US","","male",1946,"medicine","  discovery   production  mutations  means  X-ray irradiation"
426,333,"Corneille Jean François","Heymans","BE","BE","male",1938,"medicine","  discovery   role played   sinus  aortic mechanisms   regulation  respiration"
435,874,"Sir John B.","Gurdon","GB","","male",2012,"medicine","  discovery  mature cells can be reprogrammed  become pluripotent"
436,875,"Shinya","Yamanaka","JP","","male",2012,"medicine","  discovery  mature cells can be reprogrammed  become pluripotent"
437,461,"GÙnter","Blobel","PL","","male",1999,"medicine","  discovery  proteins have intrinsic signals  govern  transport  localization   cell"
505,916,"William C.","Campbell","IE","","male",2015,"medicine","  discoveries   novel therapy against infections caused  roundworm parasites"
506,917,"Satoshi","&#332;mura","JP","","male",2015,"medicine","  discoveries   novel therapy against infections caused  roundworm parasites"
507,381,"Andr_","Lwoff","FR","FR","male",1965,"medicine","  discoveries  genetic control  enzyme  virus synthesis"
508,382,"Jacques","Monod","FR","FR","male",1965,"medicine","  discoveries  genetic control  enzyme  virus synthesis"
509,380,"François","Jacob","FR","FR","male",1965,"medicine","  discoveries  genetic control  enzyme  virus synthesis"
510,750,"Sydney","Brenner","ZA","","male",2002,"medicine","  discoveries  genetic regulation  organ   programmed cell death"
511,752,"John E.","Sulston","GB","","male",2002,"medicine","  discoveries  genetic regulation  organ   programmed cell death"
512,751,"H. Robert","Horvitz","US","","male",2002,"medicine","  discoveries  genetic regulation  organ   programmed cell death"
513,421,"George D.","Snell","US","US","male",1980,"medicine","  discoveries  genetically determined structures   cell surface  regulate immunological reactions"
514,419,"Baruj","Benacerraf","VE","US","male",1980,"medicine","  discoveries  genetically determined structures   cell surface  regulate immunological reactions"
515,420,"Jean","Dausset","FR","ES","male",1980,"medicine","  discoveries  genetically determined structures   cell surface  regulate immunological reactions"
516,361,"Werner","Forssmann","DE","DE","male",1956,"medicine","  discoveries  heart catheterization  pathological changes   circulatory system"
517,360,"Andr_ Fr_d_ric","Cournand","FR","US","male",1956,"medicine","  discoveries  heart catheterization  pathological changes   circulatory system"
518,362,"Dickinson W.","Richards","US","US","male",1956,"medicine","  discoveries  heart catheterization  pathological changes   circulatory system"
519,424,"Torsten N.","Wiesel","SE","","male",1981,"medicine","  discoveries  information processing   visual system"
520,423,"David H.","Hubel","CA","US","male",1981,"medicine","  discoveries  information processing   visual system"
521,328,"William Parry","Murphy","US","US","male",1934,"medicine","  discoveries  liver therapy  cases  anaemia"
522,327,"George Richards","Minot","US","US","male",1934,"medicine","  discoveries  liver therapy  cases  anaemia"
523,326,"George Hoyt","Whipple","US","US","male",1934,"medicine","  discoveries  liver therapy  cases  anaemia"
524,765,"Sir Peter","Mansfield","GB","","male",2003,"medicine","  discoveries  magnetic resonance imaging"
525,764,"Paul C.","Lauterbur","US","US","male",2003,"medicine","  discoveries  magnetic resonance imaging"
526,410,"D. Carleton","Gajdusek","US","NO","male",1976,"medicine","  discoveries  new mechanisms   origin  dissemination  infectious diseases"
527,409,"Baruch S.","Blumberg","US","US","male",1976,"medicine","  discoveries  new mechanisms   origin  dissemination  infectious diseases"
528,458,"Robert F.","Furchgott","US","US","male",1998,"medicine","  discoveries  nitric oxide   signalling molecule   cardiovascular system"
529,460,"Ferid","Murad","US","","male",1998,"medicine","  discoveries  nitric oxide   signalling molecule   cardiovascular system"
530,459,"Louis J.","Ignarro","US","","male",1998,"medicine","  discoveries  nitric oxide   signalling molecule   cardiovascular system"
532,442,"Joseph E.","Murray","US","US","male",1990,"medicine","  discoveries  organ  cell transplantation   treatment  human disease"
533,443,"E. Donnall","Thomas","US","US","male",1990,"medicine","  discoveries  organ  cell transplantation   treatment  human disease"
534,401,"Konrad","Lorenz","AT","AT","male",1973,"medicine","  discoveries  organization  elicitation  individual  social behaviour patterns"
535,400,"Karl","von Frisch","AT","DE","male",1973,"medicine","  discoveries  organization  elicitation  individual  social behaviour patterns"
536,402,"Nikolaas","Tinbergen","NL","GB","male",1973,"medicine","  discoveries  organization  elicitation  individual  social behaviour patterns"
537,427,"John R.","Vane","GB","GB","male",1982,"medicine","  discoveries  prostaglandins  related biologically active substances"
538,426,"Bengt I.","Samuelsson","SE","","male",1982,"medicine","  discoveries  prostaglandins  related biologically active substances"
539,425,"Sune K.","Bergstr_m","SE","SE","male",1982,"medicine","  discoveries  prostaglandins  related biologically active substances"
540,447,"Edwin G.","Krebs","US","US","male",1992,"medicine","  discoveries  reversible protein phosphorylation   biological regulatory mechanism"
541,446,"Edmond H.","Fischer","CN","","male",1992,"medicine","  discoveries  reversible protein phosphorylation   biological regulatory mechanism"
542,722,"Arvid","Carlsson","SE","","male",2000,"medicine","  discoveries  signal transduction   nervous system"
543,723,"Paul","Greengard","US","","male",2000,"medicine","  discoveries  signal transduction   nervous system"
544,724,"Eric R.","Kandel","AT","","male",2000,"medicine","  discoveries  signal transduction   nervous system"
545,861,"Bruce A.","Beutler","US","","male",2011,"medicine","  discoveries   activation  innate immunity"
546,862,"Jules A.","Hoffmann","LU","","male",2011,"medicine","  discoveries   activation  innate immunity"
547,398,"Gerald M.","Edelman","US","US","male",1972,"medicine","  discoveries   chemical structure  antibodies"
548,399,"Rodney R.","Porter","GB","GB","male",1972,"medicine","  discoveries   chemical structure  antibodies"
549,444,"Erwin","Neher","DE","","male",1991,"medicine","  discoveries   function  single ion channels  cells"
550,445,"Bert","Sakmann","DE","","male",1991,"medicine","  discoveries   function  single ion channels  cells"
551,452,"Edward B.","Lewis","US","US","male",1995,"medicine","  discoveries   genetic control  early embryonic "
552,454,"Eric F.","Wieschaus","US","","male",1995,"medicine","  discoveries   genetic control  early embryonic "
553,396,"Julius","Axelrod","US","US","male",1970,"medicine","  discoveries   humoral transmittors   nerve terminals   mechanism   storage release  inactivation"
554,394,"Sir Bernard","Katz","DE","GB","male",1970,"medicine","  discoveries   humoral transmittors   nerve terminals   mechanism   storage release  inactivation"
555,395,"Ulf","von Euler","SE","SE","male",1970,"medicine","  discoveries   humoral transmittors   nerve terminals   mechanism   storage release  inactivation"
556,406,"David","Baltimore","US","","male",1975,"medicine","  discoveries   interaction between tumour viruses   genetic material   cell"
557,407,"Renato","Dulbecco","IT","US","male",1975,"medicine","  discoveries   interaction between tumour viruses   genetic material   cell"
558,408,"Howard Martin","Temin","US","US","male",1975,"medicine","  discoveries   interaction between tumour viruses   genetic material   cell"
559,376,"Alan Lloyd","Hodgkin","GB","GB","male",1963,"medicine","  discoveries   ionic mechanisms involved  excitation  inhibition   peripheral  central portions   nerve cell membrane"
560,375,"Sir John Carew","Eccles","AU","CH","male",1963,"medicine","  discoveries   ionic mechanisms involved  excitation  inhibition   peripheral  central portions   nerve cell membrane"
561,377,"Andrew Fielding","Huxley","GB","GB","male",1963,"medicine","  discoveries   ionic mechanisms involved  excitation  inhibition   peripheral  central portions   nerve cell membrane"
562,378,"Konrad","Bloch","PL","US","male",1964,"medicine","  discoveries   mechanism  regulation   cholesterol  fatty acid metabolism"
563,379,"Feodor","Lynen","DE","DE","male",1964,"medicine","  discoveries   mechanism  regulation   cholesterol  fatty acid metabolism"
564,372,"Francis Harry Compton","Crick","GB","US","male",1962,"medicine","  discoveries   molecular structure  nucleic acids   significance  information transfer  living material"
565,373,"James Dewey","Watson","US","","male",1962,"medicine","  discoveries   molecular structure  nucleic acids   significance  information transfer  living material"
566,374,"Maurice Hugh Frederick","Wilkins","NZ","GB","male",1962,"medicine","  discoveries   molecular structure  nucleic acids   significance  information transfer  living material"
567,412,"Andrew V.","Schally","LT","","male",1977,"medicine","  discoveries   peptide hormone production   brain"
568,411,"Roger","Guillemin","FR","","male",1977,"medicine","  discoveries   peptide hormone production   brain"
569,387,"George","Wald","US","US","male",1967,"medicine","  discoveries   primary physiological  chemical visual processes   eye"
570,386,"Haldan Keffer","Hartline","US","US","male",1967,"medicine","  discoveries   primary physiological  chemical visual processes   eye"
571,385,"Ragnar","Granit","FI","SE","male",1967,"medicine","  discoveries   primary physiological  chemical visual processes   eye"
572,433,"Joseph L.","Goldstein","US","","male",1985,"medicine","  discoveries   regulation  cholesterol metabolism"
573,432,"Michael S.","Brown","US","","male",1985,"medicine","  discoveries   regulation  cholesterol metabolism"
574,393,"Salvador E.","Luria","IT","US","male",1969,"medicine","  discoveries   replication mechanism   genetic structure  viruses"
575,392,"Alfred D.","Hershey","US","US","male",1969,"medicine","  discoveries   replication mechanism   genetic structure  viruses"
576,391,"Max","DelbrÙck","DE","US","male",1969,"medicine","  discoveries   replication mechanism   genetic structure  viruses"
577,455,"Peter C.","Doherty","AU","","male",1996,"medicine","  discoveries   specificity   cell mediated immune defence"
578,456,"Rolf M.","Zinkernagel","CH","","male",1996,"medicine","  discoveries   specificity   cell mediated immune defence"
579,404,"Christian","de Duve","GB","BE","male",1974,"medicine","  discoveries   structural  functional organization   cell"
580,403,"Albert","Claude","BE","BE","male",1974,"medicine","  discoveries   structural  functional organization   cell"
581,405,"George E.","Palade","RO","US","male",1974,"medicine","  discoveries   structural  functional organization   cell"
586,903,"John","O'Keefe","US","","male",2014,"medicine","  discoveries  cells  constitute  positioning system   brain"
587,905,"Edvard I.","Moser","NO","","male",2014,"medicine","  discoveries  cells  constitute  positioning system   brain"
588,434,"Stanley","Cohen","US","","male",1986,"medicine","  discoveries  growth factors"
589,437,"Sir James W.","Black","GB","","male",1988,"medicine","  discoveries  important principles  drug treatment"
590,439,"George H.","Hitchings","US","US","male",1988,"medicine","  discoveries  important principles  drug treatment"
591,736,"Tim","Hunt","GB","","male",2001,"medicine","  discoveries  key regulators   cell cycle"
592,737,"Sir Paul M.","Nurse","GB","","male",2001,"medicine","  discoveries  key regulators   cell cycle"
593,735,"Leland H.","Hartwell","US","","male",2001,"medicine","  discoveries  key regulators   cell cycle"
594,885,"Randy W.","Schekman","US","","male",2013,"medicine","  discoveries  machinery regulating vesicle traffic  major transport system   cells"
595,884,"James E.","Rothman","US","","male",2013,"medicine","  discoveries  machinery regulating vesicle traffic  major transport system   cells"
596,886,"Thomas C.","SÙdhof","DE","","male",2013,"medicine","  discoveries  machinery regulating vesicle traffic  major transport system   cells"
597,774,"Richard","Axel","US","","male",2004,"medicine","  discoveries  odorant receptors   organization   olfactory system"
598,812,"Sir Martin J.","Evans","GB","","male",2007,"medicine","  discoveries  principles  introducing specific gene modifications  mice   use  embryonic stem cells"
599,813,"Oliver","Smithies","GB","","male",2007,"medicine","  discoveries  principles  introducing specific gene modifications  mice   use  embryonic stem cells"
600,811,"Mario R.","Capecchi","IT","","male",2007,"medicine","  discoveries  principles  introducing specific gene modifications  mice   use  embryonic stem cells"
601,448,"Richard J.","Roberts","GB","","male",1993,"medicine","  discoveries  split genes"
602,449,"Phillip A.","Sharp","US","","male",1993,"medicine","  discoveries  split genes"
603,324,"Edgar Douglas","Adrian","GB","GB","male",1932,"medicine","  discoveries regarding  functions  neurons"
604,323,"Sir Charles Scott","Sherrington","GB","GB","male",1932,"medicine","  discoveries regarding  functions  neurons"
605,331,"Otto","Loewi","DE","US","male",1936,"medicine","  discoveries   chemical transmission  nerve impulses"
606,330,"Sir Henry Hallett","Dale","GB","GB","male",1936,"medicine","  discoveries   chemical transmission  nerve impulses"
607,338,"Herbert Spencer","Gasser","US","US","male",1944,"medicine","  discoveries    highly differentiated functions  single nerve fibres"
608,337,"Joseph","Erlanger","US","US","male",1944,"medicine","  discoveries    highly differentiated functions  single nerve fibres"
609,350,"Tadeus","Reichstein","PL","CH","male",1950,"medicine","  discoveries    hormones   adrenal cortex  structure  biological effects"
610,349,"Edward Calvin","Kendall","US","US","male",1950,"medicine","  discoveries    hormones   adrenal cortex  structure  biological effects"
611,351,"Philip Showalter","Hench","US","JM","male",1950,"medicine","  discoveries    hormones   adrenal cortex  structure  biological effects"
624,450,"Alfred G.","Gilman","US","US","male",1994,"medicine","  discovery  G-proteins   role  these proteins  signal transduction  cells"
625,451,"Martin","Rodbell","US","US","male",1994,"medicine","  discovery  G-proteins   role  these proteins  signal transduction  cells"
626,825,"Luc","Montagnier","FR","","male",2008,"medicine","  discovery  human immunodeficiency virus"
627,802,"Andrew Z.","Fire","US","","male",2006,"medicine","  discovery  RNA interference  gene silencing  double-stranded RNA"
628,803,"Craig C.","Mello","US","","male",2006,"medicine","  discovery  RNA interference  gene silencing  double-stranded RNA"
632,357,"Thomas Huckle","Weller","US","US","male",1954,"medicine","  discovery   ability  poliomyelitis viruses  grow  cultures  various types  tissue"
633,356,"John Franklin","Enders","US","US","male",1954,"medicine","  discovery   ability  poliomyelitis viruses  grow  cultures  various types  tissue"
634,358,"Frederick Chapman","Robbins","US","US","male",1954,"medicine","  discovery   ability  poliomyelitis viruses  grow  cultures  various types  tissue"
637,789,"Barry J.","Marshall","AU","","male",2005,"medicine","  discovery   bacterium iHelicobacter pylorii   role  gastritis  peptic ulcer disease"
638,790,"J. Robin","Warren","AU","","male",2005,"medicine","  discovery   bacterium iHelicobacter pylorii   role  gastritis  peptic ulcer disease"
641,440,"J. Michael","Bishop","US","","male",1989,"medicine","  discovery   cellular origin  retroviral oncogenes"
642,441,"Harold E.","Varmus","US","","male",1989,"medicine","  discovery   cellular origin  retroviral oncogenes"
643,343,"Carl Ferdinand","Cori","CZ","US","male",1947,"medicine","  discovery   course   catalytic conversion  glycogen"
646,367,"Severo","Ochoa","ES","ES","male",1959,"medicine","  discovery   mechanisms   biological synthesis  ribonucleic acid  deoxyribonucleic acid"
647,368,"Arthur","Kornberg","US","US","male",1959,"medicine","  discovery   mechanisms   biological synthesis  ribonucleic acid  deoxyribonucleic acid"
648,365,"Edward Lawrie","Tatum","US","US","male",1958,"medicine","  discovery  genes act  regulating definite chemical events"
649,364,"George Wells","Beadle","US","US","male",1958,"medicine","  discovery  genes act  regulating definite chemical events"
680,390,"Marshall W.","Nirenberg","US","US","male",1968,"medicine","  interpretation   genetic code   function  protein synthesis"
681,388,"Robert W.","Holley","US","US","male",1968,"medicine","  interpretation   genetic code   function  protein synthesis"
682,389,"Har Gobind","Khorana","IN","US","male",1968,"medicine","  interpretation   genetic code   function  protein synthesis"
749,430,"Georges J.F.","K_hler","DE","DE","male",1984,"medicine"," theories   specificity    control   immune system   discovery   principle  production  monoclonal antibodies"
750,429,"Niels K.","Jerne","GB","FR","male",1984,"medicine"," theories   specificity    control   immune system   discovery   principle  production  monoclonal antibodies"
751,431,"C_sar","Milstein","AR","GB","male",1984,"medicine"," theories   specificity    control   immune system   discovery   principle  production  monoclonal antibodies"
760,295,"Niels Ryberg","Finsen","DK","DK","male",1903,"medicine","       treatment  diseases  lupus vulgaris  concentrated light radiation whereby   opened  new avenue  medical science"
769,307,"Charles Robert","Richet","FR","FR","male",1913,"medicine","      anaphylaxis"
772,296,"Ivan Petrovich","Pavlov","RU","RU","male",1904,"medicine","       physiology  digestion   knowledge  vital aspects   subject  been transformed  enlarged"
773,300,"Charles Louis Alphonse","Laveran","FR","FR","male",1907,"medicine","       role played  protozoa  causing diseases"
774,306,"Alexis","Carrel","FR","FR","male",1912,"medicine","      vascular suture   transplantation  blood vessels  organs"
775,304,"Albrecht","Kossel","DE","DE","male",1910,"medicine","       knowledge  cell chemistry      proteins   nucleic substances"
795,302,"Paul","Ehrlich","PL","DE","male",1908,"medicine","      immunity"
796,301,"Ilya Ilyich","Mechnikov","UA","FR","male",1908,"medicine","      immunity"
797,299,"Santiago","RamÑn y Cajal","ES","ES","male",1906,"medicine","       structure   nervous system"
798,298,"Camillo","Golgi","IT","IT","male",1906,"medicine","       structure   nervous system"
