"","id","X","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation","age"
"1",1,781,"Wilhelm Conrad","R_ntgen","DE","DE","male",1901,"physics","""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",56
"2",2,777,"Hendrik Antoon","Lorentz","NL","NL","male",1902,"physics","""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",49
"3",3,776,"Pieter","Zeeman","NL","NL","male",1902,"physics","""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",37
"4",4,778,"Antoine Henri","Becquerel","FR","FR","male",1903,"physics","""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",50
"5",5,783,"Pierre","Curie","FR","FR","male",1903,"physics","""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",44
"6",6,33,"Marie","Curie, n_e Sklodowska","PL","FR","female",1911,"chemistry","""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",44
"7",6,33,"Marie","Curie, n_e Sklodowska","PL","FR","female",1911,"chemistry","""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",36
"8",6,35,"Marie","Curie, n_e Sklodowska","PL","FR","female",1903,"physics","""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",44
"9",6,35,"Marie","Curie, n_e Sklodowska","PL","FR","female",1903,"physics","""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",36
"10",8,234,"Lord Rayleigh","(John William Strutt)","GB","GB","male",1904,"physics","""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",62
"11",9,299,"Philipp Eduard Anton","von Lenard","SK","DE","male",1905,"physics","""for his work on cathode rays""",43
"12",10,785,"Joseph John","Thomson","GB","GB","male",1906,"physics","""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",49
"13",11,254,"Albert Abraham","Michelson","PL","US","male",1907,"physics","""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",54
"14",12,248,"Gabriel","Lippmann","LU","","male",1908,"physics","""for his method of reproducing colours photographically based on the phenomenon of interference""",63
"15",13,790,"Guglielmo","Marconi","IT","IT","male",1909,"physics","""in recognition of their contributions to the development of wireless telegraphy""",35
"16",14,791,"Karl Ferdinand","Braun","DE","US","male",1909,"physics","""in recognition of their contributions to the development of wireless telegraphy""",59
"17",15,311,"Johannes Diderik","van der Waals","NL","NL","male",1910,"physics","""for his work on the equation of state for gases and liquids""",73
"18",16,167,"Wilhelm","Wien","RU","DE","male",1911,"physics","""for his discoveries regarding the laws governing the radiation of heat""",47
"19",17,228,"Nils Gustaf","Dal_n","SE","SE","male",1912,"physics","""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",43
"20",18,239,"Heike","Kamerlingh Onnes","NL","NL","male",1913,"physics","""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",60
"21",19,186,"Max","von Laue","DE","DE","male",1914,"physics","""for his discovery of the diffraction of X-rays by crystals""",35
"22",20,726,"Sir William Henry","Bragg","GB","GB","male",1915,"physics","""for their services in the analysis of crystal structure by means of X-rays""",53
"23",21,727,"William Lawrence","Bragg","AU","GB","male",1915,"physics","""for their services in the analysis of crystal structure by means of X-rays""",25
"24",22,182,"Charles Glover","Barkla","GB","GB","male",1917,"physics","""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",40
"25",23,789,"Max Karl Ernst Ludwig","Planck","DE","DE","male",1918,"physics","""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",60
"26",24,187,"Johannes","Stark","DE","DE","male",1919,"physics","""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",45
