"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
1,846,"Elinor","Ostrom","US","US","female",2009,"economics","    economic governance   commons"
2,783,"Wangari Muta","Maathai","KE","KE","female",2004,"peace","    sustainable  democracy  peace"
3,230,"Dorothy Crowfoot","Hodgkin","EG","GB","female",1964,"chemistry","  determinations  X-ray techniques   structures  important biochemical substances"
4,918,"Youyou","Tu","CN","","female",2015,"medicine","  discoveries   novel therapy against Malaria"
5,428,"Barbara","McClintock","US","US","female",1983,"medicine","  discovery  mobile genetic elements"
6,773,"Shirin","Ebadi","IR","","female",2003,"peace","    democracy  human rights She  focused    struggle   rights  women  children"
7,597,"Grazia","Deledda","IT","IT","female",1926,"literature","  idealistically inspired writings   plastic clarity picture  life   native island   depth  sympathy deal  human problems  general"
8,615,"Gabriela","Mistral","CL","US","female",1945,"literature","  lyric poetry  inspired  powerful emotions    name  symbol   idealistic aspirations   entire Latin American world"
9,782,"Elfriede","Jelinek","AT","","female",2004,"literature","  musical flow  voices  counter-voices  novels  plays    linguistic zeal reveal  absurdity  society's clicheacutes   subjugating power"
10,553,"Aung San Suu Kyi","","MM","","female",1991,"peace","  non-violent struggle  democracy  human rights"
11,640,"Nelly","Sachs","DE","SE","female",1966,"literature","  outstanding lyrical  dramatic writing  interprets Israel's destiny  touching strength "
12,924,"Svetlana","Alexievich","UA","","female",2015,"literature","  polyphonic writings  monument  suffering  courage   time"
13,610,"Pearl","Buck","US","US","female",1938,"literature","  rich  truly epic descriptions  peasant life  China    biographical masterpieces"
14,673,"Wislawa","Szymborska","PL","PL","female",1996,"literature"," poetry   ironic precision allows  historical  biological context  come  light  fragments  human reality"
15,843,"Ada E.","Yonath","IL","","female",2009,"chemistry"," studies   structure  function   ribosome"
16,413,"Rosalyn","Yalow","US","US","female",1977,"medicine","    radioimmunoassays  peptide hormones"
17,836,"Carol W.","Greider","US","","female",2009,"medicine","  discovery  how chromosomes  protected  telomeres   enzyme telomerase"
18,835,"Elizabeth H.","Blackburn","AU","","female",2009,"medicine","  discovery  how chromosomes  protected  telomeres   enzyme telomerase"
19,79,"Maria","Goeppert Mayer","PL","US","female",1963,"physics","  discoveries  nuclear shell structure"
20,453,"Christiane","NÙsslein-Volhard","DE","","female",1995,"medicine","  discoveries   genetic control  early embryonic "
21,904,"May-Britt","Moser","NO","","female",2014,"medicine","  discoveries  cells  constitute  positioning system   brain"
22,435,"Rita","Levi-Montalcini","IT","IT","female",1986,"medicine","  discoveries  growth factors"
23,438,"Gertrude B.","Elion","US","US","female",1988,"medicine","  discoveries  important principles  drug treatment"
24,775,"Linda B.","Buck","US","","female",2004,"medicine","  discoveries  odorant receptors   organization   olfactory system"
25,824,"Françoise","Barr_-Sinoussi","FR","","female",2008,"medicine","  discovery  human immunodeficiency virus"
26,344,"Gerty Theresa","Cori, n_e Radnitz","CZ","US","female",1947,"medicine","  discovery   course   catalytic conversion  glycogen"
27,869,"Ellen","Johnson Sirleaf","LR","","female",2011,"peace","  non-violent struggle   safety  women   womenaposs rights  full participation  peace-building "
28,870,"Leymah","Gbowee","LR","","female",2011,"peace","  non-violent struggle   safety  women   womenaposs rights  full participation  peace-building "
29,871,"Tawakkol","Karman","YE","","female",2011,"peace","  non-violent struggle   safety  women   womenaposs rights  full participation  peace-building "
30,914,"Malala","Yousafzai","PK","","female",2014,"peace","  struggle against  suppression  children  young people    right  all children  education"
31,565,"Jody","Williams","US","","female",1997,"peace","     banning  clearing  anti-personnel mines"
32,579,"Selma Ottilia Lovisa","Lagerl_f","SE","SE","female",1909,"literature"," appreciation   lofty idealism vivid imagination  spiritual perception  characterize  writings"
33,6,"Marie","Curie, n_e Sklodowska","PL","FR","female",1911,"chemistry","       advancement  chemistry   discovery   elements radium  polonium   isolation  radium   study   nature  compounds  this remarkable element"
34,554,"Rigoberta","MenchÏ Tum","GT","","female",1992,"peace","      social justice  ethno-cultural reconciliation based  respect   rights  indigenous peoples"
35,6,"Marie","Curie, n_e Sklodowska","PL","FR","female",1903,"physics","      they have rendered   joint researches   radiation phenomena discovered  Professor Henri Becquerel"
36,194,"Irène","Joliot-Curie","FR","FR","female",1935,"chemistry","    synthesis  new radioactive elements"
37,892,"Alice","Munro","CA","","female",2013,"literature","master   contemporary short story"
38,601,"Sigrid","Undset","DK","NO","female",1928,"literature","principally   powerful descriptions  Northern life during  Middle Ages"
39,817,"Doris","Lessing","IR","GB","female",2007,"literature"," epicist   female experience   scepticism fire  visionary power  subjected  divided civilisation  scrutiny"
40,670,"Toni","Morrison","US","","female",1993,"literature","  novels characterized  visionary force  poetic import gives life   essential aspect  American reality"
41,668,"Nadine","Gordimer","ZA","ZA","female",1991,"literature","   magnificent epic writing     words  Alfred Nobel  been  very great benefit  humanity"
42,844,"Herta","MÙller","RO","","female",2009,"literature","   concentration  poetry   frankness  prose depicts  landscape   dispossessed"
43,535,"Betty","Williams","GB","","female",1976,"peace",""
44,536,"Mairead","Corrigan","GB","","female",1976,"peace",""
45,543,"Alva","Myrdal","SE","SE","female",1982,"peace",""
46,540,"Mother Teresa","","MK","IN","female",1979,"peace",""
47,468,"Baroness Bertha Sophie Felicita","von Suttner, n_e Countess Kinsky von Chinic und Tettau","CZ","AT","female",1905,"peace",""
