"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
2,783,"Wangari Muta","Maathai","KE","KE","female",2004,"peace","    sustainable  democracy  peace"
6,773,"Shirin","Ebadi","IR","","female",2003,"peace","    democracy  human rights She  focused    struggle   rights  women  children"
10,553,"Aung San Suu Kyi","","MM","","female",1991,"peace","  non-violent struggle  democracy  human rights"
27,869,"Ellen","Johnson Sirleaf","LR","","female",2011,"peace","  non-violent struggle   safety  women   womenaposs rights  full participation  peace-building "
28,870,"Leymah","Gbowee","LR","","female",2011,"peace","  non-violent struggle   safety  women   womenaposs rights  full participation  peace-building "
29,871,"Tawakkol","Karman","YE","","female",2011,"peace","  non-violent struggle   safety  women   womenaposs rights  full participation  peace-building "
30,914,"Malala","Yousafzai","PK","","female",2014,"peace","  struggle against  suppression  children  young people    right  all children  education"
31,565,"Jody","Williams","US","","female",1997,"peace","     banning  clearing  anti-personnel mines"
34,554,"Rigoberta","MenchÏ Tum","GT","","female",1992,"peace","      social justice  ethno-cultural reconciliation based  respect   rights  indigenous peoples"
43,535,"Betty","Williams","GB","","female",1976,"peace",""
44,536,"Mairead","Corrigan","GB","","female",1976,"peace",""
45,543,"Alva","Myrdal","SE","SE","female",1982,"peace",""
46,540,"Mother Teresa","","MK","IN","female",1979,"peace",""
47,468,"Baroness Bertha Sophie Felicita","von Suttner, n_e Countess Kinsky von Chinic und Tettau","CZ","AT","female",1905,"peace",""
48,496,"Jane","Addams","US","US","female",1931,"peace",""
49,506,"Emily Greene","Balch","US","US","female",1946,"peace",""
136,762,"Jimmy","Carter","US","","male",2002,"peace","  decades  untiring effort  find peaceful solutions  international conflicts  advance democracy  human rights   promote economic  social "
213,845,"Barack H.","Obama","US","","male",2009,"peace","     strengthen international diplomacy  cooperation between peoples"
223,833,"Martti","Ahtisaari","RU","","male",2008,"peace","  important   several continents  over more than three decades  resolve international conflicts"
240,552,"Mikhail Sergeyevich","Gorbachev","RU","","male",1990,"peace","  leading role   peace process  today characterizes important parts   international community"
241,855,"Liu","Xiaobo","CN","","male",2010,"peace","  long  non-violent struggle  fundamental human rights  China"
278,934,"Juan Manuel","Santos","CO","","male",2016,"peace","  resolute   bring  country's more than 50-year-long civil war   end"
295,725,"Kim","Dae-jung","KR","","male",2000,"peace","    democracy  human rights  South Korea   East Asia  general   peace  reconciliation  North Korea  particular"
296,549,"Oscar","Arias Sànchez","CR","","male",1987,"peace","    peace  Central America   led   accord signed  Guatemala  August 7 this year"
650,819,"Albert Arnold (Al)","Gore Jr.","US","","male",2007,"peace","    build up  disseminate greater knowledge about man- climate change   lay  foundations   measures   needed  counteract such change"
651,809,"Muhammad","Yunus","BD","","male",2006,"peace","    create economic  social  from below"
652,559,"Yitzhak","Rabin","IL","IL","male",1994,"peace","    create peace   Middle East"
653,558,"Shimon","Peres","BY","IL","male",1994,"peace","    create peace   Middle East"
654,557,"Yasser","Arafat","EG","","male",1994,"peace","    create peace   Middle East"
655,560,"Joseph","Rotblat","PL","GB","male",1995,"peace","    diminish  part played  nuclear arms  international politics    longer run  eliminate such arms"
656,566,"John","Hume","GB","","male",1998,"peace","    find  peaceful solution   conflict  Northern Ireland"
657,567,"David","Trimble","GB","","male",1998,"peace","    find  peaceful solution   conflict  Northern Ireland"
658,798,"Mohamed","ElBaradei","EG","","male",2005,"peace","    prevent nuclear energy from being used  military purposes   ensure  nuclear energy  peaceful purposes is used   safest possible way"
728,913,"Kailash","Satyarthi","IN","","male",2014,"peace","  struggle against  suppression  children  young people    right  all children  education"
736,749,"Kofi","Annan","GH","","male",2001,"peace","     better organized  more peaceful world"
737,556,"Frederik Willem","de Klerk","ZA","","male",1993,"peace","     peaceful termination   apartheid regime   laying  foundations   new democratic South Africa"
738,555,"Nelson","Mandela","ZA","ZA","male",1993,"peace","     peaceful termination   apartheid regime   laying  foundations   new democratic South Africa"
744,562,"Carlos Filipe Ximenes","Belo","TL","","male",1996,"peace","     just  peaceful solution   conflict  East Timor"
