"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
19,79,"Maria","Goeppert Mayer","PL","US","female",1963,"physics","  discoveries  nuclear shell structure"
35,6,"Marie","Curie, n_e Sklodowska","PL","FR","female",1903,"physics","      they have rendered   joint researches   radiation phenomena discovered  Professor Henri Becquerel"
67,727,"Herbert","Kroemer","DE","","male",2000,"physics"," developing semiconductor heterostructures used  high-speed  opto-electronics"
68,726,"Zhores I.","Alferov","BY","","male",2000,"physics"," developing semiconductor heterostructures used  high-speed  opto-electronics"
69,154,"William D.","Phillips","US","","male",1997,"physics","   methods  cool  trap atoms  laser light"
70,153,"Claude","Cohen-Tannoudji","DZ","","male",1997,"physics","   methods  cool  trap atoms  laser light"
71,152,"Steven","Chu","US","","male",1997,"physics","   methods  cool  trap atoms  laser light"
72,141,"Pierre-Gilles","de Gennes","FR","FR","male",1991,"physics"," discovering  methods   studying order phenomena  simple systems can be generalized  more complex forms  matter  particular  liquid crystals  polymers"
75,159,"Martinus J.G.","Veltman","NL","","male",1999,"physics"," elucidating  quantum structure  electroweak interactions  physics"
76,158,"Gerardus","'t Hooft","NL","","male",1999,"physics"," elucidating  quantum structure  electroweak interactions  physics"
77,92,"Louis Eugène F_lix","N_el","FR","FR","male",1970,"physics"," fundamental   discoveries  antiferromagnetism  ferrimagnetism  have led  important applications  solid state physics"
78,91,"Hannes Olof G_sta","Alfv_n","SE","SE","male",1970,"physics"," fundamental   discoveries  magnetohydro-dynamics  fruitful applications  different parts  plasma physics"
79,81,"Charles Hard","Townes","US","US","male",1964,"physics"," fundamental    field  quantum electronics   led   construction  oscillators  amplifiers based   maser-laser principle"
80,83,"Aleksandr Mikhailovich","Prokhorov","AU","RU","male",1964,"physics"," fundamental    field  quantum electronics   led   construction  oscillators  amplifiers based   maser-laser principle"
81,82,"Nicolay Gennadiyevich","Basov","RU","RU","male",1964,"physics"," fundamental    field  quantum electronics   led   construction  oscillators  amplifiers based   maser-laser principle"
82,877,"David J.","Wineland","US","","male",2012,"physics"," ground-breaking experimental methods  enable measuring  manipulation  individual quantum systems"
83,876,"Serge","Haroche","MA","","male",2012,"physics"," ground-breaking experimental methods  enable measuring  manipulation  individual quantum systems"
