"","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
"1",846,"Elinor","Ostrom","US","US","female",2009,"economics","""for her analysis of economic governance, especially the commons"""
"2",783,"Wangari Muta","Maathai","KE","KE","female",2004,"peace","""for her contribution to sustainable development, democracy and peace"""
"3",230,"Dorothy Crowfoot","Hodgkin","EG","GB","female",1964,"chemistry","""for her determinations by X-ray techniques of the structures of important biochemical substances"""
"4",918,"Youyou","Tu","CN","","female",2015,"medicine","""for her discoveries concerning a novel therapy against Malaria"""
"5",428,"Barbara","McClintock","US","US","female",1983,"medicine","""for her discovery of mobile genetic elements"""
"6",773,"Shirin","Ebadi","IR","","female",2003,"peace","""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children"""
"7",597,"Grazia","Deledda","IT","IT","female",1926,"literature","""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"""
"8",615,"Gabriela","Mistral","CL","US","female",1945,"literature","""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"""
"9",782,"Elfriede","Jelinek","AT","","female",2004,"literature","""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power"""
"10",553,"Aung San Suu Kyi","","MM","","female",1991,"peace","""for her non-violent struggle for democracy and human rights"""
"11",640,"Nelly","Sachs","DE","SE","female",1966,"literature","""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"" "
"12",924,"Svetlana","Alexievich","UA","","female",2015,"literature","""for her polyphonic writings, a monument to suffering and courage in our time"""
"13",610,"Pearl","Buck","US","US","female",1938,"literature","""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces"""
"14",673,"Wislawa","Szymborska","PL","PL","female",1996,"literature","""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality"""
"15",843,"Ada E.","Yonath","IL","","female",2009,"chemistry","""for studies of the structure and function of the ribosome"""
"16",413,"Rosalyn","Yalow","US","US","female",1977,"medicine","""for the development of radioimmunoassays of peptide hormones"""
